canvassim,ZINC06648713-2 ,15a           ,15a-charge      ,15b,15b-charge,21-1,21-2,43,43-charge,55,55-charge,65,70,70-charge,78a,78a-charge,78b,78b-charge,80,81,81-charge,82,83,84,85-1,85-2,85-3,86,96,96-charge,97,97-charge,98,98-charge,99,99-charge,100,100-charge,101,101-charge,102,102-charge,103,103-charge,104,104-charge,105,105-charge,151831        ,CheCOSP01-t,CheCOSP02,CheCOSP03,CheCOSP04-t,CheCOSP05-t,CheCOSP06,CheCOSP07-t,CheCOSP08-t,CheCOSP09,CheCOSP010-c,CheCOSP11-t,CheCOSP12,CheCOSP13-t,CheCOSP14,CheCOSP15-t,CheCOSP19,CheCOSP20,CheCOSP21,CheCOSP22,CheCOSP23,CheCOSP24,CheCOSP25,CheCOSP26,CheCOSP26-charge,CheCOSP27,CheCOSP28,CheCOSP29,CheCOSP30-R,CheCOSP30-R-charge,CheCOSP31,CheCOSP32,CheCOSP33-R,CheCOSP33-R-charge,CheCOSP34,CheCOSP35,CheCOSP35-charge,CheCOSP36-R,CheCOSP36-R-1,CheCOSP37,CheCOSP38,CheCOSP38-charge,CheCOSP39,CheCOSP40,CheCOSP40-charge,CheCOSP41,CheCOSP42-R,CheCOSP43-R,CheCOSP44,CheCOSP45,CheCOSP46,CheCOSP47,CheCOSP48,CheCOSP49,CheCOSP50,CheCOSP51,CheCOSP52,CheCOSP53,CheCOSP54,CheCOSP54-charge,CheCOSP55,CheCOSP56,CheCOSP57-charge,CheCOSP58-R,CheCOSP58-R-1,CheCOSP59,CheCOSP59-charge,CheCOSP60,CheCOSP61,CheCOSP62,CheCOSP62-charge,CheCOSP63,CheCOSP64,CheCOSP64-1,DHN1           ,DHN2           ,LA1011-1        ,LA1011-2       ,LA1014        ,LA1014-charge     ,LA1026-1     ,LA1026-2    ,Novobiocin    ,ZINC06648713-1,ZINC09256574  ,goniothalamin ,CheCOSP57
CheCOSP41,0.483871,0.625,0.649123,0.625,0.649123,0.637931,0.627119,0.57377,0.596774,0.631579,0.666667,0.62069,0.660714,0.696429,0.654545,0.690909,0.654545,0.690909,0.784314,0.666667,0.62963,0.75,0.649123,0.627119,0.672414,0.672414,0.649123,0.611111,0.672414,0.694915,0.644068,0.666667,0.627119,0.65,0.569231,0.590909,0.625,0.649123,0.589286,0.614035,0.589286,0.614035,0.589286,0.614035,0.614035,0.637931,0.642857,0.666667,0.5,0.392857,0.392157,0.346154,0.4375,0.387755,0.45,0.491228,0.491228,0.355932,0.392857,0.392857,0.45,0.491228,0.45,0.491228,0.44,0.438596,0.355932,0.45,0.346154,0.388889,0.519231,0.692308,0.788462,0.862745,0.586207,0.283019,0.654545,0.714286,0.489796,1,0.54386,0.571429,0.410714,0.610169,0.683333,0.65625,0.650794,0.482143,0.897959,0.816327,0.5,0.918367,0.836735,1,0.557377,0.564516,0.355932,0.45,0.433333,0.433333,0.433333,0.433333,0.433333,0.433333,0.508197,0.508197,0.46875,0.492063,0.346154,0.339623,0.788462,0.65625,0.650794,0.692308,0.788462,0.862745,0.807692,0.641509,0.735849,0.409836,0.655738,0.645161,0.491525,0.526316,0.610169,0.610169,0.5625,0.492063,0.62069,0.62069,0.41791,0.460317,0.393939,0.265306,0.692308
CheCOSP42-R,0.378788,0.47541,0.5,0.47541,0.5,0.46875,0.461538,0.439394,0.462687,0.483871,0.516129,0.453125,0.460317,0.492063,0.451613,0.483871,0.451613,0.483871,0.525424,0.483333,0.45,0.5,0.52459,0.532258,0.5,0.5,0.47619,0.592593,0.454545,0.477612,0.476923,0.5,0.507937,0.53125,0.442857,0.464789,0.47541,0.5,0.442623,0.467742,0.442623,0.467742,0.442623,0.467742,0.491803,0.516129,0.467742,0.492063,0.40678,0.45283,0.458333,0.468085,0.387755,0.395833,0.622642,0.555556,0.555556,0.519231,0.45283,0.45283,0.622642,0.555556,0.622642,0.555556,0.42,0.472727,0.519231,0.622642,0.4375,0.510204,0.56,0.581818,0.642857,0.649123,0.568965,0.395833,0.666667,0.727273,0.411765,0.557377,0.851064,0.851064,0.591837,0.516129,0.5625,0.693548,0.66129,0.708333,0.559322,0.517241,0.538462,0.55,0.508475,0.557377,1,0.92,0.519231,0.622642,0.603774,0.603774,0.603774,0.603774,0.603774,0.603774,0.716981,0.716981,0.754717,0.754717,0.4375,0.4,0.614035,0.666667,0.634921,0.553571,0.614035,0.62069,0.603448,0.535714,0.596491,0.574074,0.639344,0.683333,0.5,0.433333,0.323944,0.323944,0.375,0.328571,0.347826,0.347826,0.446154,0.358209,0.378788,0.196078,0.553571
CheCOSP43-R,0.409091,0.483871,0.532258,0.483871,0.532258,0.5,0.492308,0.447761,0.492537,0.516129,0.548387,0.507937,0.516129,0.548387,0.483871,0.516129,0.483871,0.516129,0.533333,0.491803,0.459016,0.533333,0.583333,0.590164,0.555556,0.555556,0.507937,0.660377,0.462687,0.507463,0.484848,0.530303,0.515625,0.5625,0.450704,0.492958,0.483871,0.532258,0.451613,0.5,0.451613,0.5,0.451613,0.5,0.5,0.548387,0.47619,0.52381,0.440678,0.436364,0.44,0.44898,0.372549,0.38,0.62963,0.563636,0.563636,0.5,0.436364,0.436364,0.62963,0.563636,0.62963,0.563636,0.431373,0.482143,0.5,0.62963,0.42,0.490196,0.538462,0.589286,0.649123,0.655172,0.603448,0.38,0.642857,0.701754,0.396226,0.564516,0.816327,0.816327,0.538462,0.548387,0.619048,0.754098,0.721311,0.68,0.566667,0.525424,0.54717,0.557377,0.516667,0.564516,0.92,1,0.5,0.62963,0.611111,0.611111,0.611111,0.611111,0.611111,0.611111,0.722222,0.722222,0.759259,0.759259,0.42,0.384615,0.62069,0.725806,0.693548,0.561404,0.62069,0.627119,0.610169,0.54386,0.603448,0.581818,0.7,0.745763,0.508475,0.442623,0.352113,0.352113,0.422535,0.357143,0.376812,0.376812,0.432836,0.38806,0.409091,0.188679,0.561404
CheCOSP44,0.310345,0.293103,0.278689,0.293103,0.278689,0.253968,0.269841,0.269841,0.257576,0.305085,0.295082,0.258065,0.305085,0.295082,0.293103,0.283333,0.293103,0.283333,0.229508,0.233333,0.241379,0.229508,0.258065,0.269841,0.246154,0.246154,0.258065,0.245614,0.285714,0.272727,0.285714,0.272727,0.333333,0.31746,0.264706,0.253521,0.293103,0.278689,0.258621,0.245902,0.258621,0.245902,0.258621,0.245902,0.310345,0.295082,0.310345,0.295082,0.283019,0.878788,0.666667,0.6875,0.558824,0.575758,0.820513,0.725,0.725,1,0.878788,0.878788,0.820513,0.725,0.820513,0.725,0.513514,0.783784,1,0.820513,0.636364,0.787879,0.615385,0.44,0.425926,0.410714,0.433962,0.575758,0.530612,0.509434,0.583333,0.355932,0.6,0.6,0.657895,0.410714,0.393443,0.451613,0.442623,0.717949,0.375,0.377358,0.511628,0.368421,0.37037,0.355932,0.519231,0.5,1,0.820513,0.842105,0.842105,0.842105,0.842105,0.842105,0.842105,0.727273,0.727273,0.695652,0.695652,0.636364,0.571429,0.4,0.428571,0.419355,0.411765,0.4,0.385965,0.368421,0.392157,0.381818,0.75,0.393443,0.409836,0.531915,0.42,0.215385,0.215385,0.217391,0.21875,0.238095,0.238095,0.462963,0.333333,0.288136,0.277778,0.411765
CheCOSP45,0.33871,0.322581,0.349206,0.322581,0.349206,0.34375,0.359375,0.298507,0.323529,0.354839,0.365079,0.328125,0.4,0.387097,0.38983,0.377049,0.38983,0.377049,0.322581,0.306452,0.295082,0.344262,0.370968,0.380952,0.353846,0.353846,0.328125,0.368421,0.333333,0.358209,0.333333,0.358209,0.359375,0.384615,0.309859,0.333333,0.322581,0.349206,0.290323,0.31746,0.290323,0.31746,0.290323,0.31746,0.33871,0.365079,0.33871,0.365079,0.339286,0.725,0.55,0.564103,0.463415,0.475,1,0.9,0.9,0.820513,0.725,0.725,1,0.9,1,0.9,0.465116,0.697674,0.820513,1,0.525,0.65,0.666667,0.490566,0.5,0.508772,0.482143,0.475,0.576923,0.611111,0.488372,0.45,0.717391,0.717391,0.707317,0.433333,0.460317,0.564516,0.532258,0.85,0.448276,0.428571,0.565217,0.440678,0.421053,0.45,0.622642,0.62963,0.820513,1,0.925,0.925,0.925,0.925,0.925,0.925,0.844444,0.844444,0.847826,0.847826,0.525,0.47619,0.473684,0.539683,0.507937,0.462963,0.473684,0.482759,0.465517,0.444444,0.45614,0.925,0.483871,0.52459,0.612245,0.392857,0.246377,0.246377,0.3,0.268657,0.268657,0.268657,0.457627,0.360656,0.33871,0.261905,0.462963
CheCOSP46,0.344262,0.35,0.354839,0.35,0.354839,0.328125,0.34375,0.323077,0.328358,0.383333,0.370968,0.3125,0.360656,0.370968,0.35,0.360656,0.35,0.360656,0.306452,0.290323,0.3,0.327869,0.354839,0.365079,0.338462,0.338462,0.333333,0.350877,0.338462,0.343284,0.338462,0.343284,0.387097,0.390625,0.314286,0.319444,0.35,0.354839,0.316667,0.322581,0.316667,0.322581,0.316667,0.322581,0.366667,0.370968,0.366667,0.370968,0.345455,0.74359,0.564103,0.578947,0.475,0.487179,0.925,0.829268,0.829268,0.842105,0.74359,0.74359,0.925,0.829268,0.925,0.829268,0.44186,0.674419,0.842105,0.925,0.538462,0.666667,0.642857,0.471698,0.482143,0.491228,0.464286,0.487179,0.588235,0.592593,0.5,0.433333,0.695652,0.695652,0.682927,0.416667,0.444444,0.548387,0.516129,0.825,0.431034,0.410714,0.543478,0.423729,0.403509,0.433333,0.603774,0.611111,0.842105,0.925,1,1,1,1,1,1,0.782609,0.782609,0.787234,0.787234,0.538462,0.487805,0.45614,0.52381,0.492063,0.444444,0.45614,0.465517,0.448276,0.425926,0.438596,0.853659,0.467742,0.508197,0.625,0.4,0.231884,0.231884,0.285714,0.253731,0.253731,0.253731,0.440678,0.366667,0.322581,0.268293,0.444444
CheCOSP47,0.344262,0.35,0.354839,0.35,0.354839,0.328125,0.34375,0.323077,0.328358,0.383333,0.370968,0.3125,0.360656,0.370968,0.35,0.360656,0.35,0.360656,0.306452,0.290323,0.3,0.327869,0.354839,0.365079,0.338462,0.338462,0.333333,0.350877,0.338462,0.343284,0.338462,0.343284,0.387097,0.390625,0.314286,0.319444,0.35,0.354839,0.316667,0.322581,0.316667,0.322581,0.316667,0.322581,0.366667,0.370968,0.366667,0.370968,0.345455,0.74359,0.564103,0.578947,0.475,0.487179,0.925,0.829268,0.829268,0.842105,0.74359,0.74359,0.925,0.829268,0.925,0.829268,0.44186,0.674419,0.842105,0.925,0.538462,0.666667,0.642857,0.471698,0.482143,0.491228,0.464286,0.487179,0.588235,0.592593,0.5,0.433333,0.695652,0.695652,0.682927,0.416667,0.444444,0.548387,0.516129,0.825,0.431034,0.410714,0.543478,0.423729,0.403509,0.433333,0.603774,0.611111,0.842105,0.925,1,1,1,1,1,1,0.782609,0.782609,0.787234,0.787234,0.538462,0.487805,0.45614,0.52381,0.492063,0.444444,0.45614,0.465517,0.448276,0.425926,0.438596,0.853659,0.467742,0.508197,0.625,0.4,0.231884,0.231884,0.285714,0.253731,0.253731,0.253731,0.440678,0.366667,0.322581,0.268293,0.444444
CheCOSP48,0.344262,0.35,0.354839,0.35,0.354839,0.328125,0.34375,0.323077,0.328358,0.383333,0.370968,0.3125,0.360656,0.370968,0.35,0.360656,0.35,0.360656,0.306452,0.290323,0.3,0.327869,0.354839,0.365079,0.338462,0.338462,0.333333,0.350877,0.338462,0.343284,0.338462,0.343284,0.387097,0.390625,0.314286,0.319444,0.35,0.354839,0.316667,0.322581,0.316667,0.322581,0.316667,0.322581,0.366667,0.370968,0.366667,0.370968,0.345455,0.74359,0.564103,0.578947,0.475,0.487179,0.925,0.829268,0.829268,0.842105,0.74359,0.74359,0.925,0.829268,0.925,0.829268,0.44186,0.674419,0.842105,0.925,0.538462,0.666667,0.642857,0.471698,0.482143,0.491228,0.464286,0.487179,0.588235,0.592593,0.5,0.433333,0.695652,0.695652,0.682927,0.416667,0.444444,0.548387,0.516129,0.825,0.431034,0.410714,0.543478,0.423729,0.403509,0.433333,0.603774,0.611111,0.842105,0.925,1,1,1,1,1,1,0.782609,0.782609,0.787234,0.787234,0.538462,0.487805,0.45614,0.52381,0.492063,0.444444,0.45614,0.465517,0.448276,0.425926,0.438596,0.853659,0.467742,0.508197,0.625,0.4,0.231884,0.231884,0.285714,0.253731,0.253731,0.253731,0.440678,0.366667,0.322581,0.268293,0.444444
CheCOSP49,0.344262,0.35,0.354839,0.35,0.354839,0.328125,0.34375,0.323077,0.328358,0.383333,0.370968,0.3125,0.360656,0.370968,0.35,0.360656,0.35,0.360656,0.306452,0.290323,0.3,0.327869,0.354839,0.365079,0.338462,0.338462,0.333333,0.350877,0.338462,0.343284,0.338462,0.343284,0.387097,0.390625,0.314286,0.319444,0.35,0.354839,0.316667,0.322581,0.316667,0.322581,0.316667,0.322581,0.366667,0.370968,0.366667,0.370968,0.345455,0.74359,0.564103,0.578947,0.475,0.487179,0.925,0.829268,0.829268,0.842105,0.74359,0.74359,0.925,0.829268,0.925,0.829268,0.44186,0.674419,0.842105,0.925,0.538462,0.666667,0.642857,0.471698,0.482143,0.491228,0.464286,0.487179,0.588235,0.592593,0.5,0.433333,0.695652,0.695652,0.682927,0.416667,0.444444,0.548387,0.516129,0.825,0.431034,0.410714,0.543478,0.423729,0.403509,0.433333,0.603774,0.611111,0.842105,0.925,1,1,1,1,1,1,0.782609,0.782609,0.787234,0.787234,0.538462,0.487805,0.45614,0.52381,0.492063,0.444444,0.45614,0.465517,0.448276,0.425926,0.438596,0.853659,0.467742,0.508197,0.625,0.4,0.231884,0.231884,0.285714,0.253731,0.253731,0.253731,0.440678,0.366667,0.322581,0.268293,0.444444
CheCOSP50,0.344262,0.35,0.354839,0.35,0.354839,0.328125,0.34375,0.323077,0.328358,0.383333,0.370968,0.3125,0.360656,0.370968,0.35,0.360656,0.35,0.360656,0.306452,0.290323,0.3,0.327869,0.354839,0.365079,0.338462,0.338462,0.333333,0.350877,0.338462,0.343284,0.338462,0.343284,0.387097,0.390625,0.314286,0.319444,0.35,0.354839,0.316667,0.322581,0.316667,0.322581,0.316667,0.322581,0.366667,0.370968,0.366667,0.370968,0.345455,0.74359,0.564103,0.578947,0.475,0.487179,0.925,0.829268,0.829268,0.842105,0.74359,0.74359,0.925,0.829268,0.925,0.829268,0.44186,0.674419,0.842105,0.925,0.538462,0.666667,0.642857,0.471698,0.482143,0.491228,0.464286,0.487179,0.588235,0.592593,0.5,0.433333,0.695652,0.695652,0.682927,0.416667,0.444444,0.548387,0.516129,0.825,0.431034,0.410714,0.543478,0.423729,0.403509,0.433333,0.603774,0.611111,0.842105,0.925,1,1,1,1,1,1,0.782609,0.782609,0.787234,0.787234,0.538462,0.487805,0.45614,0.52381,0.492063,0.444444,0.45614,0.465517,0.448276,0.425926,0.438596,0.853659,0.467742,0.508197,0.625,0.4,0.231884,0.231884,0.285714,0.253731,0.253731,0.253731,0.440678,0.366667,0.322581,0.268293,0.444444
CheCOSP51,0.344262,0.35,0.354839,0.35,0.354839,0.328125,0.34375,0.323077,0.328358,0.383333,0.370968,0.3125,0.360656,0.370968,0.35,0.360656,0.35,0.360656,0.306452,0.290323,0.3,0.327869,0.354839,0.365079,0.338462,0.338462,0.333333,0.350877,0.338462,0.343284,0.338462,0.343284,0.387097,0.390625,0.314286,0.319444,0.35,0.354839,0.316667,0.322581,0.316667,0.322581,0.316667,0.322581,0.366667,0.370968,0.366667,0.370968,0.345455,0.74359,0.564103,0.578947,0.475,0.487179,0.925,0.829268,0.829268,0.842105,0.74359,0.74359,0.925,0.829268,0.925,0.829268,0.44186,0.674419,0.842105,0.925,0.538462,0.666667,0.642857,0.471698,0.482143,0.491228,0.464286,0.487179,0.588235,0.592593,0.5,0.433333,0.695652,0.695652,0.682927,0.416667,0.444444,0.548387,0.516129,0.825,0.431034,0.410714,0.543478,0.423729,0.403509,0.433333,0.603774,0.611111,0.842105,0.925,1,1,1,1,1,1,0.782609,0.782609,0.787234,0.787234,0.538462,0.487805,0.45614,0.52381,0.492063,0.444444,0.45614,0.465517,0.448276,0.425926,0.438596,0.853659,0.467742,0.508197,0.625,0.4,0.231884,0.231884,0.285714,0.253731,0.253731,0.253731,0.440678,0.366667,0.322581,0.268293,0.444444
CheCOSP52,0.375,0.380952,0.428571,0.380952,0.428571,0.378788,0.393939,0.352941,0.397059,0.412698,0.444444,0.384615,0.459016,0.467742,0.45,0.459016,0.45,0.459016,0.380952,0.34375,0.3125,0.380952,0.428571,0.4375,0.409091,0.409091,0.363636,0.431034,0.38806,0.432836,0.38806,0.432836,0.415385,0.461538,0.361111,0.402778,0.380952,0.428571,0.349206,0.396825,0.349206,0.396825,0.349206,0.396825,0.396825,0.444444,0.396825,0.444444,0.403509,0.644444,0.488889,0.5,0.413043,0.422222,0.844444,0.76087,0.76087,0.727273,0.644444,0.644444,0.844444,0.76087,0.844444,0.76087,0.416667,0.625,0.727273,0.844444,0.466667,0.577778,0.595745,0.527273,0.561404,0.568965,0.517241,0.422222,0.641509,0.703704,0.468085,0.508197,0.787234,0.826087,0.595745,0.467742,0.515625,0.645161,0.612903,0.717391,0.508475,0.491228,0.509804,0.5,0.482759,0.508197,0.716981,0.722222,0.727273,0.844444,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,1,1,0.875,0.914894,0.466667,0.425532,0.534483,0.619048,0.587302,0.5,0.534483,0.542373,0.525424,0.482143,0.517241,0.782609,0.539683,0.580645,0.584906,0.431034,0.3,0.3,0.352113,0.304348,0.323529,0.323529,0.491803,0.375,0.375,0.234043,0.5
CheCOSP53,0.375,0.380952,0.428571,0.380952,0.428571,0.378788,0.393939,0.352941,0.397059,0.412698,0.444444,0.384615,0.459016,0.467742,0.45,0.459016,0.45,0.459016,0.380952,0.34375,0.3125,0.380952,0.428571,0.4375,0.409091,0.409091,0.363636,0.431034,0.38806,0.432836,0.38806,0.432836,0.415385,0.461538,0.361111,0.402778,0.380952,0.428571,0.349206,0.396825,0.349206,0.396825,0.349206,0.396825,0.396825,0.444444,0.396825,0.444444,0.403509,0.644444,0.488889,0.5,0.413043,0.422222,0.844444,0.76087,0.76087,0.727273,0.644444,0.644444,0.844444,0.76087,0.844444,0.76087,0.416667,0.625,0.727273,0.844444,0.466667,0.577778,0.595745,0.527273,0.561404,0.568965,0.517241,0.422222,0.641509,0.703704,0.468085,0.508197,0.787234,0.826087,0.595745,0.467742,0.515625,0.645161,0.612903,0.717391,0.508475,0.491228,0.509804,0.5,0.482759,0.508197,0.716981,0.722222,0.727273,0.844444,0.782609,0.782609,0.782609,0.782609,0.782609,0.782609,1,1,0.875,0.914894,0.466667,0.425532,0.534483,0.619048,0.587302,0.5,0.534483,0.542373,0.525424,0.482143,0.517241,0.782609,0.539683,0.580645,0.584906,0.431034,0.3,0.3,0.352113,0.304348,0.323529,0.323529,0.491803,0.375,0.375,0.234043,0.5
CheCOSP54,0.343284,0.390625,0.415385,0.390625,0.415385,0.38806,0.402985,0.362319,0.385714,0.421875,0.430769,0.373134,0.421875,0.409091,0.412698,0.4,0.412698,0.4,0.390625,0.353846,0.34375,0.390625,0.4375,0.446154,0.41791,0.41791,0.393939,0.465517,0.397059,0.42029,0.397059,0.42029,0.424242,0.447761,0.369863,0.391892,0.390625,0.415385,0.359375,0.384615,0.359375,0.384615,0.359375,0.384615,0.40625,0.430769,0.40625,0.430769,0.38983,0.617021,0.468085,0.478261,0.395833,0.404255,0.847826,0.765957,0.765957,0.695652,0.617021,0.617021,0.847826,0.765957,0.847826,0.765957,0.4,0.6,0.695652,0.847826,0.446809,0.553191,0.571429,0.508772,0.516667,0.52459,0.5,0.404255,0.618182,0.649123,0.42,0.46875,0.791667,0.755102,0.604167,0.453125,0.477612,0.6,0.569231,0.723404,0.467742,0.45,0.490566,0.460317,0.442623,0.46875,0.754717,0.759259,0.695652,0.847826,0.787234,0.787234,0.787234,0.787234,0.787234,0.787234,0.875,0.875,1,0.957447,0.446809,0.408163,0.491803,0.575758,0.545455,0.482759,0.491803,0.5,0.483871,0.465517,0.47541,0.787234,0.523077,0.5625,0.653846,0.465517,0.256757,0.256757,0.324324,0.295775,0.277778,0.277778,0.55,0.363636,0.343284,0.22449,0.482759
CheCOSP54-charge,0.363636,0.390625,0.4375,0.390625,0.4375,0.409091,0.424242,0.362319,0.405797,0.421875,0.453125,0.393939,0.421875,0.430769,0.412698,0.421875,0.412698,0.421875,0.412698,0.375,0.34375,0.412698,0.460317,0.46875,0.439394,0.439394,0.393939,0.465517,0.397059,0.441176,0.397059,0.441176,0.424242,0.469697,0.369863,0.410959,0.390625,0.4375,0.359375,0.40625,0.359375,0.40625,0.359375,0.40625,0.40625,0.453125,0.40625,0.453125,0.413793,0.617021,0.468085,0.478261,0.395833,0.404255,0.847826,0.765957,0.765957,0.695652,0.617021,0.617021,0.847826,0.765957,0.847826,0.765957,0.4,0.6,0.695652,0.847826,0.446809,0.553191,0.604167,0.508772,0.542373,0.55,0.5,0.404255,0.618182,0.678571,0.44898,0.492063,0.755102,0.791667,0.604167,0.453125,0.5,0.625,0.59375,0.723404,0.491803,0.474576,0.519231,0.483871,0.466667,0.492063,0.754717,0.759259,0.695652,0.847826,0.787234,0.787234,0.787234,0.787234,0.787234,0.787234,0.914894,0.914894,0.957447,1,0.446809,0.408163,0.516667,0.6,0.569231,0.482759,0.516667,0.52459,0.508197,0.465517,0.5,0.787234,0.546875,0.587302,0.653846,0.465517,0.273973,0.273973,0.342466,0.295775,0.295775,0.295775,0.52459,0.363636,0.343284,0.22449,0.482759
CheCOSP55,0.346939,0.25,0.236364,0.25,0.236364,0.232143,0.22807,0.22807,0.216667,0.264151,0.254545,0.236364,0.264151,0.254545,0.25,0.240741,0.25,0.240741,0.226415,0.230769,0.24,0.226415,0.236364,0.22807,0.224138,0.224138,0.236364,0.244898,0.224138,0.213115,0.245614,0.233333,0.272727,0.258621,0.225806,0.215385,0.25,0.236364,0.211538,0.2,0.211538,0.2,0.211538,0.2,0.269231,0.254545,0.245283,0.232143,0.26087,0.575758,0.730769,0.913043,0.653846,0.826087,0.525,0.475,0.475,0.636364,0.575758,0.575758,0.525,0.475,0.525,0.475,0.703704,0.513514,0.636364,0.525,0.913043,0.75,0.558824,0.44186,0.425532,0.408163,0.404255,0.75,0.477273,0.428571,0.678571,0.346154,0.512195,0.512195,0.558824,0.38,0.363636,0.355932,0.368421,0.583333,0.367347,0.369565,0.527778,0.36,0.361702,0.346154,0.4375,0.42,0.636364,0.525,0.538462,0.538462,0.538462,0.538462,0.538462,0.538462,0.466667,0.466667,0.446809,0.446809,1,0.875,0.456522,0.355932,0.368421,0.44186,0.425532,0.408163,0.36,0.386364,0.375,0.463415,0.363636,0.381818,0.347826,0.355556,0.210526,0.210526,0.193548,0.192982,0.236364,0.236364,0.301887,0.346939,0.32,0.241379,0.47619
CheCOSP56,0.34,0.245283,0.232143,0.245283,0.232143,0.22807,0.224138,0.224138,0.213115,0.259259,0.25,0.232143,0.259259,0.25,0.245283,0.236364,0.245283,0.236364,0.222222,0.226415,0.235294,0.222222,0.232143,0.224138,0.220339,0.220339,0.232143,0.24,0.220339,0.209677,0.241379,0.229508,0.267857,0.254237,0.222222,0.212121,0.245283,0.232143,0.207547,0.196429,0.207547,0.196429,0.207547,0.196429,0.264151,0.25,0.240741,0.22807,0.255319,0.558824,0.642857,0.8,0.62963,0.791667,0.47619,0.463415,0.463415,0.571429,0.558824,0.558824,0.47619,0.463415,0.47619,0.463415,0.678571,0.5,0.571429,0.47619,0.8,0.666667,0.5,0.4,0.387755,0.372549,0.367347,0.653846,0.434783,0.392157,0.655172,0.339623,0.465116,0.465116,0.5,0.346154,0.333333,0.327869,0.338983,0.526316,0.36,0.361702,0.513514,0.352941,0.354167,0.339623,0.4,0.384615,0.571429,0.47619,0.487805,0.487805,0.487805,0.487805,0.487805,0.487805,0.425532,0.425532,0.408163,0.408163,0.875,1,0.416667,0.327869,0.338983,0.4,0.387755,0.372549,0.326923,0.347826,0.34,0.418605,0.333333,0.350877,0.340426,0.377778,0.25,0.25,0.229508,0.232143,0.210526,0.210526,0.320755,0.34,0.288462,0.233333,0.431818
CheCOSP57-charge,0.412698,0.54386,0.568965,0.54386,0.568965,0.586207,0.576271,0.5,0.52381,0.551724,0.586207,0.568965,0.578947,0.614035,0.571429,0.607143,0.571429,0.607143,0.660377,0.611111,0.574074,0.660377,0.568965,0.55,0.59322,0.59322,0.568965,0.527273,0.540984,0.564516,0.540984,0.564516,0.55,0.57377,0.5,0.522388,0.54386,0.568965,0.508772,0.534483,0.508772,0.534483,0.508772,0.534483,0.534483,0.559322,0.534483,0.559322,0.421053,0.363636,0.478261,0.425532,0.434783,0.382979,0.473684,0.438596,0.438596,0.4,0.363636,0.363636,0.473684,0.438596,0.473684,0.438596,0.468085,0.436364,0.4,0.473684,0.425532,0.469388,0.52,0.847826,0.956522,0.877551,0.648148,0.354167,0.72549,0.754717,0.4,0.788462,0.603774,0.634615,0.490196,0.672727,0.75,0.716667,0.741379,0.538462,0.875,0.791667,0.591837,0.857143,0.77551,0.788462,0.614035,0.62069,0.4,0.473684,0.45614,0.45614,0.45614,0.45614,0.45614,0.45614,0.534483,0.534483,0.491803,0.516667,0.456522,0.416667,1,0.716667,0.741379,0.847826,0.956522,0.877551,0.82,0.787234,0.893617,0.431034,0.781818,0.736842,0.416667,0.5,0.559322,0.559322,0.539683,0.467742,0.596491,0.596491,0.352941,0.390625,0.435484,0.18,0.888889
CheCOSP58-R,0.416667,0.629032,0.677419,0.629032,0.677419,0.640625,0.630769,0.58209,0.626866,0.66129,0.693548,0.650794,0.716667,0.75,0.683333,0.716667,0.683333,0.716667,0.578125,0.515152,0.484848,0.578125,0.677419,0.709677,0.725806,0.725806,0.677419,0.539683,0.597015,0.641791,0.621212,0.666667,0.68254,0.730159,0.6,0.642857,0.629032,0.677419,0.596774,0.645161,0.596774,0.645161,0.596774,0.645161,0.645161,0.693548,0.619048,0.666667,0.402985,0.396825,0.372881,0.355932,0.338983,0.322034,0.539683,0.507937,0.507937,0.428571,0.396825,0.396825,0.539683,0.507937,0.539683,0.507937,0.38983,0.460317,0.428571,0.539683,0.37931,0.416667,0.435484,0.633333,0.716667,0.721311,0.672131,0.3,0.655738,0.737705,0.33871,0.65625,0.633333,0.661017,0.435484,0.721311,0.819672,0.966102,0.932203,0.55,0.66129,0.596774,0.467742,0.650794,0.587302,0.65625,0.666667,0.725806,0.428571,0.539683,0.52381,0.52381,0.52381,0.52381,0.52381,0.52381,0.619048,0.619048,0.575758,0.6,0.355932,0.327869,0.716667,1,0.965517,0.661017,0.745763,0.75,0.677419,0.590164,0.672131,0.5,0.761905,0.777778,0.484848,0.447761,0.478873,0.478873,0.571429,0.485714,0.507246,0.507246,0.381579,0.39726,0.43662,0.16129,0.633333
