canvassim,15a           ,15a-charge      ,15b-charge,15b,21-1,21-2,43-charge,43,55-charge,55,65,70-charge,70,78a-charge,78a,78b-charge,78b,80,81-charge,81,82,83,84,85-1,85-2,85-3,86,96-charge,96,97-charge,97,98-charge,98,99-charge,99,100-charge,100,101-charge,101,102-charge,102,103-charge,103,104-charge,104,105-charge,105,151831        ,CheCOSP01-t,CheCOSP02,CheCOSP03,CheCOSP04-t,CheCOSP05-t,CheCOSP06,CheCOSP07-t,CheCOSP08-t,CheCOSP09,CheCOSP010-c,CheCOSP11-t,CheCOSP12,CheCOSP13-t,CheCOSP14,CheCOSP15-t,CheCOSP19,CheCOSP20,CheCOSP21,CheCOSP22,CheCOSP23,CheCOSP24,CheCOSP25,CheCOSP26-charge,CheCOSP26,CheCOSP27,CheCOSP28,CheCOSP29,CheCOSP30-R-charge,CheCOSP30-R,CheCOSP31,CheCOSP32,CheCOSP33-R-charge,CheCOSP33-R,CheCOSP34,CheCOSP35-charge,CheCOSP35,CheCOSP36-R-1,CheCOSP36-R,CheCOSP37,CheCOSP38-charge,CheCOSP38,CheCOSP39,CheCOSP40-charge,CheCOSP40,CheCOSP41,CheCOSP42-R,CheCOSP43-R,CheCOSP44,CheCOSP45,CheCOSP46,CheCOSP47,CheCOSP48,CheCOSP49,CheCOSP50,CheCOSP51,CheCOSP52,CheCOSP53,CheCOSP54-charge,CheCOSP54,CheCOSP55,CheCOSP56,CheCOSP57-charge,CheCOSP57,CheCOSP58-R-1,CheCOSP58-R,CheCOSP59-charge,CheCOSP59,CheCOSP60,CheCOSP61,CheCOSP62-charge,CheCOSP62,CheCOSP63,CheCOSP64-1,CheCOSP64,DHN1           ,DHN2           ,goniothalamin ,LA1011-1        ,LA1011-2       ,LA1014        ,LA1014-charge     ,LA1026-1     ,LA1026-2    ,Novobiocin    ,ZINC06648713-1,ZINC09256574  
CheCOSP09,0.293103,0.278689,0.278689,0.293103,0.253968,0.269841,0.257576,0.269841,0.295082,0.305085,0.258065,0.295082,0.305085,0.283333,0.293103,0.283333,0.293103,0.229508,0.241379,0.233333,0.229508,0.258065,0.269841,0.246154,0.246154,0.258065,0.245614,0.272727,0.285714,0.272727,0.285714,0.31746,0.333333,0.253521,0.264706,0.278689,0.293103,0.245902,0.258621,0.245902,0.258621,0.245902,0.258621,0.295082,0.310345,0.295082,0.310345,0.283019,0.878788,0.666667,0.6875,0.558824,0.575758,0.820513,0.725,0.725,1,0.878788,0.878788,0.820513,0.725,0.820513,0.725,0.513514,0.783784,1,0.820513,0.636364,0.787879,0.615385,0.425926,0.44,0.410714,0.433962,0.575758,0.509434,0.530612,0.583333,0.355932,0.6,0.6,0.657895,0.393443,0.410714,0.442623,0.451613,0.717949,0.377358,0.375,0.511628,0.37037,0.368421,0.355932,0.519231,0.5,1,0.820513,0.842105,0.842105,0.842105,0.842105,0.842105,0.842105,0.727273,0.727273,0.695652,0.695652,0.636364,0.571429,0.4,0.411765,0.419355,0.428571,0.4,0.411765,0.385965,0.368421,0.381818,0.392157,0.75,0.409836,0.393443,0.531915,0.42,0.277778,0.215385,0.215385,0.217391,0.21875,0.238095,0.238095,0.462963,0.333333,0.288136
CheCOSP010-c,0.303571,0.288136,0.288136,0.303571,0.262295,0.278689,0.265625,0.278689,0.305085,0.315789,0.266667,0.305085,0.315789,0.293103,0.303571,0.293103,0.303571,0.237288,0.25,0.241379,0.237288,0.266667,0.278689,0.253968,0.253968,0.266667,0.254545,0.301587,0.316667,0.301587,0.316667,0.327869,0.344828,0.26087,0.272727,0.288136,0.303571,0.254237,0.267857,0.254237,0.267857,0.254237,0.267857,0.305085,0.321429,0.305085,0.321429,0.294118,1,0.558824,0.575758,0.645161,0.666667,0.725,0.810811,0.810811,0.878788,1,1,0.725,0.810811,0.725,0.810811,0.542857,0.828571,0.878788,0.725,0.575758,0.676471,0.525,0.363636,0.372549,0.350877,0.37037,0.470588,0.444444,0.46,0.666667,0.392857,0.521739,0.521739,0.564103,0.33871,0.350877,0.387097,0.396825,0.625,0.392157,0.388889,0.431818,0.411765,0.407407,0.392857,0.45283,0.436364,0.878788,0.725,0.74359,0.74359,0.74359,0.74359,0.74359,0.74359,0.644444,0.644444,0.617021,0.617021,0.575758,0.558824,0.363636,0.372549,0.387097,0.396825,0.363636,0.372549,0.350877,0.310345,0.321429,0.326923,0.658537,0.354839,0.33871,0.555556,0.4375,0.333333,0.222222,0.222222,0.223881,0.225806,0.225806,0.225806,0.509804,0.345455,0.254237
CheCOSP11-t,0.303571,0.288136,0.288136,0.303571,0.262295,0.278689,0.265625,0.278689,0.305085,0.315789,0.266667,0.305085,0.315789,0.293103,0.303571,0.293103,0.303571,0.237288,0.25,0.241379,0.237288,0.266667,0.278689,0.253968,0.253968,0.266667,0.254545,0.301587,0.316667,0.301587,0.316667,0.327869,0.344828,0.26087,0.272727,0.288136,0.303571,0.254237,0.267857,0.254237,0.267857,0.254237,0.267857,0.305085,0.321429,0.305085,0.321429,0.294118,1,0.558824,0.575758,0.645161,0.666667,0.725,0.810811,0.810811,0.878788,1,1,0.725,0.810811,0.725,0.810811,0.542857,0.828571,0.878788,0.725,0.575758,0.676471,0.525,0.363636,0.372549,0.350877,0.37037,0.470588,0.444444,0.46,0.666667,0.392857,0.521739,0.521739,0.564103,0.33871,0.350877,0.387097,0.396825,0.625,0.392157,0.388889,0.431818,0.411765,0.407407,0.392857,0.45283,0.436364,0.878788,0.725,0.74359,0.74359,0.74359,0.74359,0.74359,0.74359,0.644444,0.644444,0.617021,0.617021,0.575758,0.558824,0.363636,0.372549,0.387097,0.396825,0.363636,0.372549,0.350877,0.310345,0.321429,0.326923,0.658537,0.354839,0.33871,0.555556,0.4375,0.333333,0.222222,0.222222,0.223881,0.225806,0.225806,0.225806,0.509804,0.345455,0.254237
CheCOSP12,0.322581,0.349206,0.349206,0.322581,0.34375,0.359375,0.323529,0.298507,0.365079,0.354839,0.328125,0.387097,0.4,0.377049,0.38983,0.377049,0.38983,0.322581,0.295082,0.306452,0.344262,0.370968,0.380952,0.353846,0.353846,0.328125,0.368421,0.358209,0.333333,0.358209,0.333333,0.384615,0.359375,0.333333,0.309859,0.349206,0.322581,0.31746,0.290323,0.31746,0.290323,0.31746,0.290323,0.365079,0.33871,0.365079,0.33871,0.339286,0.725,0.55,0.564103,0.463415,0.475,1,0.9,0.9,0.820513,0.725,0.725,1,0.9,1,0.9,0.465116,0.697674,0.820513,1,0.525,0.65,0.666667,0.5,0.490566,0.508772,0.482143,0.475,0.611111,0.576923,0.488372,0.45,0.717391,0.717391,0.707317,0.460317,0.433333,0.532258,0.564516,0.85,0.428571,0.448276,0.565217,0.421053,0.440678,0.45,0.622642,0.62963,0.820513,1,0.925,0.925,0.925,0.925,0.925,0.925,0.844444,0.844444,0.847826,0.847826,0.525,0.47619,0.473684,0.462963,0.507937,0.539683,0.473684,0.462963,0.482759,0.465517,0.45614,0.444444,0.925,0.52459,0.483871,0.612245,0.392857,0.261905,0.246377,0.246377,0.3,0.268657,0.268657,0.268657,0.457627,0.360656,0.33871
CheCOSP13-t,0.333333,0.360656,0.360656,0.333333,0.354839,0.370968,0.333333,0.307692,0.377049,0.366667,0.33871,0.4,0.413793,0.38983,0.403509,0.38983,0.403509,0.333333,0.305085,0.316667,0.355932,0.383333,0.393443,0.365079,0.365079,0.33871,0.381818,0.390625,0.365079,0.390625,0.365079,0.396825,0.370968,0.342857,0.318841,0.360656,0.333333,0.327869,0.3,0.327869,0.3,0.327869,0.3,0.377049,0.35,0.377049,0.35,0.351852,0.810811,0.463415,0.475,0.526316,0.540541,0.9,1,1,0.725,0.810811,0.810811,0.9,1,0.9,1,0.487805,0.731707,0.725,0.9,0.475,0.560976,0.581395,0.438596,0.425926,0.448276,0.421053,0.390244,0.545455,0.509434,0.55,0.491228,0.638298,0.638298,0.619048,0.40625,0.377049,0.47619,0.507937,0.756098,0.444444,0.464286,0.489362,0.462963,0.482143,0.491228,0.555556,0.563636,0.725,0.9,0.829268,0.829268,0.829268,0.829268,0.829268,0.829268,0.76087,0.76087,0.765957,0.765957,0.475,0.463415,0.438596,0.425926,0.47619,0.507937,0.438596,0.425926,0.448276,0.40678,0.396552,0.381818,0.829268,0.467742,0.428571,0.638298,0.407407,0.307692,0.253731,0.253731,0.308824,0.276923,0.257576,0.257576,0.5,0.372881,0.306452
CheCOSP14,0.322581,0.349206,0.349206,0.322581,0.34375,0.359375,0.323529,0.298507,0.365079,0.354839,0.328125,0.387097,0.4,0.377049,0.38983,0.377049,0.38983,0.322581,0.295082,0.306452,0.344262,0.370968,0.380952,0.353846,0.353846,0.328125,0.368421,0.358209,0.333333,0.358209,0.333333,0.384615,0.359375,0.333333,0.309859,0.349206,0.322581,0.31746,0.290323,0.31746,0.290323,0.31746,0.290323,0.365079,0.33871,0.365079,0.33871,0.339286,0.725,0.55,0.564103,0.463415,0.475,1,0.9,0.9,0.820513,0.725,0.725,1,0.9,1,0.9,0.465116,0.697674,0.820513,1,0.525,0.65,0.666667,0.5,0.490566,0.508772,0.482143,0.475,0.611111,0.576923,0.488372,0.45,0.717391,0.717391,0.707317,0.460317,0.433333,0.532258,0.564516,0.85,0.428571,0.448276,0.565217,0.421053,0.440678,0.45,0.622642,0.62963,0.820513,1,0.925,0.925,0.925,0.925,0.925,0.925,0.844444,0.844444,0.847826,0.847826,0.525,0.47619,0.473684,0.462963,0.507937,0.539683,0.473684,0.462963,0.482759,0.465517,0.45614,0.444444,0.925,0.52459,0.483871,0.612245,0.392857,0.261905,0.246377,0.246377,0.3,0.268657,0.268657,0.268657,0.457627,0.360656,0.33871
CheCOSP15-t,0.333333,0.360656,0.360656,0.333333,0.354839,0.370968,0.333333,0.307692,0.377049,0.366667,0.33871,0.4,0.413793,0.38983,0.403509,0.38983,0.403509,0.333333,0.305085,0.316667,0.355932,0.383333,0.393443,0.365079,0.365079,0.33871,0.381818,0.390625,0.365079,0.390625,0.365079,0.396825,0.370968,0.342857,0.318841,0.360656,0.333333,0.327869,0.3,0.327869,0.3,0.327869,0.3,0.377049,0.35,0.377049,0.35,0.351852,0.810811,0.463415,0.475,0.526316,0.540541,0.9,1,1,0.725,0.810811,0.810811,0.9,1,0.9,1,0.487805,0.731707,0.725,0.9,0.475,0.560976,0.581395,0.438596,0.425926,0.448276,0.421053,0.390244,0.545455,0.509434,0.55,0.491228,0.638298,0.638298,0.619048,0.40625,0.377049,0.47619,0.507937,0.756098,0.444444,0.464286,0.489362,0.462963,0.482143,0.491228,0.555556,0.563636,0.725,0.9,0.829268,0.829268,0.829268,0.829268,0.829268,0.829268,0.76087,0.76087,0.765957,0.765957,0.475,0.463415,0.438596,0.425926,0.47619,0.507937,0.438596,0.425926,0.448276,0.40678,0.396552,0.381818,0.829268,0.467742,0.428571,0.638298,0.407407,0.307692,0.253731,0.253731,0.308824,0.276923,0.257576,0.257576,0.5,0.372881,0.306452
CheCOSP19,0.313726,0.296296,0.296296,0.313726,0.314815,0.309091,0.271186,0.285714,0.314815,0.326923,0.320755,0.339623,0.352941,0.326923,0.34,0.326923,0.34,0.313726,0.333333,0.32,0.313726,0.296296,0.285714,0.303571,0.303571,0.320755,0.3125,0.288136,0.303571,0.310345,0.327273,0.315789,0.333333,0.285714,0.3,0.296296,0.313726,0.259259,0.27451,0.259259,0.27451,0.259259,0.27451,0.314815,0.333333,0.290909,0.307692,0.333333,0.542857,0.566667,0.703704,0.607143,0.76,0.465116,0.487805,0.487805,0.513514,0.542857,0.542857,0.465116,0.487805,0.465116,0.487805,1,0.705882,0.513514,0.465116,0.703704,0.59375,0.486486,0.468085,0.488372,0.44898,0.416667,0.571429,0.411765,0.456522,0.633333,0.44,0.454545,0.454545,0.486486,0.4,0.42,0.403509,0.38983,0.512821,0.477273,0.468085,0.540541,0.466667,0.458333,0.44,0.42,0.431373,0.513514,0.465116,0.44186,0.44186,0.44186,0.44186,0.44186,0.44186,0.416667,0.416667,0.4,0.4,0.703704,0.678571,0.468085,0.488372,0.403509,0.38983,0.468085,0.488372,0.44898,0.4,0.416667,0.431818,0.409091,0.418182,0.4,0.333333,0.431818,0.225806,0.245614,0.245614,0.206349,0.206897,0.25,0.25,0.314815,0.416667,0.307692
CheCOSP20,0.350877,0.333333,0.333333,0.350877,0.327869,0.344262,0.307692,0.322581,0.35,0.362069,0.333333,0.372881,0.385965,0.362069,0.375,0.362069,0.375,0.305085,0.321429,0.310345,0.305085,0.311475,0.322581,0.31746,0.31746,0.333333,0.303571,0.34375,0.360656,0.34375,0.360656,0.370968,0.38983,0.318841,0.333333,0.333333,0.350877,0.3,0.315789,0.3,0.315789,0.3,0.315789,0.35,0.368421,0.35,0.368421,0.346154,0.828571,0.5,0.513514,0.527778,0.542857,0.697674,0.731707,0.731707,0.783784,0.828571,0.828571,0.697674,0.731707,0.697674,0.731707,0.705882,1,0.783784,0.697674,0.513514,0.605263,0.511628,0.436364,0.45098,0.421053,0.418182,0.421053,0.464286,0.480769,0.552632,0.438596,0.510204,0.510204,0.547619,0.403226,0.421053,0.451613,0.460317,0.604651,0.470588,0.462963,0.488889,0.461538,0.454545,0.438596,0.472727,0.482143,0.783784,0.697674,0.674419,0.674419,0.674419,0.674419,0.674419,0.674419,0.625,0.625,0.6,0.6,0.513514,0.5,0.436364,0.45098,0.451613,0.460317,0.436364,0.45098,0.421053,0.37931,0.392857,0.403846,0.636364,0.419355,0.403226,0.510204,0.489796,0.263158,0.265625,0.265625,0.246377,0.25,0.269841,0.269841,0.472727,0.392857,0.3
CheCOSP21,0.293103,0.278689,0.278689,0.293103,0.253968,0.269841,0.257576,0.269841,0.295082,0.305085,0.258065,0.295082,0.305085,0.283333,0.293103,0.283333,0.293103,0.229508,0.241379,0.233333,0.229508,0.258065,0.269841,0.246154,0.246154,0.258065,0.245614,0.272727,0.285714,0.272727,0.285714,0.31746,0.333333,0.253521,0.264706,0.278689,0.293103,0.245902,0.258621,0.245902,0.258621,0.245902,0.258621,0.295082,0.310345,0.295082,0.310345,0.283019,0.878788,0.666667,0.6875,0.558824,0.575758,0.820513,0.725,0.725,1,0.878788,0.878788,0.820513,0.725,0.820513,0.725,0.513514,0.783784,1,0.820513,0.636364,0.787879,0.615385,0.425926,0.44,0.410714,0.433962,0.575758,0.509434,0.530612,0.583333,0.355932,0.6,0.6,0.657895,0.393443,0.410714,0.442623,0.451613,0.717949,0.377358,0.375,0.511628,0.37037,0.368421,0.355932,0.519231,0.5,1,0.820513,0.842105,0.842105,0.842105,0.842105,0.842105,0.842105,0.727273,0.727273,0.695652,0.695652,0.636364,0.571429,0.4,0.411765,0.419355,0.428571,0.4,0.411765,0.385965,0.368421,0.381818,0.392157,0.75,0.409836,0.393443,0.531915,0.42,0.277778,0.215385,0.215385,0.217391,0.21875,0.238095,0.238095,0.462963,0.333333,0.288136
CheCOSP22,0.322581,0.349206,0.349206,0.322581,0.34375,0.359375,0.323529,0.298507,0.365079,0.354839,0.328125,0.387097,0.4,0.377049,0.38983,0.377049,0.38983,0.322581,0.295082,0.306452,0.344262,0.370968,0.380952,0.353846,0.353846,0.328125,0.368421,0.358209,0.333333,0.358209,0.333333,0.384615,0.359375,0.333333,0.309859,0.349206,0.322581,0.31746,0.290323,0.31746,0.290323,0.31746,0.290323,0.365079,0.33871,0.365079,0.33871,0.339286,0.725,0.55,0.564103,0.463415,0.475,1,0.9,0.9,0.820513,0.725,0.725,1,0.9,1,0.9,0.465116,0.697674,0.820513,1,0.525,0.65,0.666667,0.5,0.490566,0.508772,0.482143,0.475,0.611111,0.576923,0.488372,0.45,0.717391,0.717391,0.707317,0.460317,0.433333,0.532258,0.564516,0.85,0.428571,0.448276,0.565217,0.421053,0.440678,0.45,0.622642,0.62963,0.820513,1,0.925,0.925,0.925,0.925,0.925,0.925,0.844444,0.844444,0.847826,0.847826,0.525,0.47619,0.473684,0.462963,0.507937,0.539683,0.473684,0.462963,0.482759,0.465517,0.45614,0.444444,0.925,0.52459,0.483871,0.612245,0.392857,0.261905,0.246377,0.246377,0.3,0.268657,0.268657,0.268657,0.457627,0.360656,0.33871
CheCOSP23,0.25,0.236364,0.236364,0.25,0.232143,0.22807,0.216667,0.22807,0.254545,0.264151,0.236364,0.254545,0.264151,0.240741,0.25,0.240741,0.25,0.226415,0.24,0.230769,0.226415,0.236364,0.22807,0.224138,0.224138,0.236364,0.244898,0.213115,0.224138,0.233333,0.245614,0.258621,0.272727,0.215385,0.225806,0.236364,0.25,0.2,0.211538,0.2,0.211538,0.2,0.211538,0.254545,0.269231,0.232143,0.245283,0.26087,0.575758,0.730769,0.913043,0.653846,0.826087,0.525,0.475,0.475,0.636364,0.575758,0.575758,0.525,0.475,0.525,0.475,0.703704,0.513514,0.636364,0.525,1,0.75,0.558824,0.425532,0.44186,0.408163,0.404255,0.75,0.428571,0.477273,0.678571,0.346154,0.512195,0.512195,0.558824,0.363636,0.38,0.368421,0.355932,0.583333,0.369565,0.367347,0.527778,0.361702,0.36,0.346154,0.4375,0.42,0.636364,0.525,0.538462,0.538462,0.538462,0.538462,0.538462,0.538462,0.466667,0.466667,0.446809,0.446809,0.913043,0.8,0.425532,0.44186,0.392857,0.37931,0.456522,0.47619,0.4375,0.36,0.375,0.386364,0.463415,0.381818,0.363636,0.347826,0.355556,0.241379,0.189655,0.189655,0.174603,0.172414,0.214286,0.214286,0.301887,0.346939,0.294118
CheCOSP24,0.296296,0.280702,0.280702,0.296296,0.275862,0.271186,0.258065,0.271186,0.298246,0.309091,0.280702,0.298246,0.309091,0.285714,0.296296,0.285714,0.296296,0.272727,0.288462,0.277778,0.272727,0.280702,0.271186,0.266667,0.266667,0.280702,0.294118,0.253968,0.266667,0.274194,0.288136,0.3,0.315789,0.253731,0.265625,0.280702,0.296296,0.245614,0.259259,0.245614,0.259259,0.245614,0.259259,0.298246,0.314815,0.275862,0.290909,0.26,0.676471,0.851852,0.814815,0.714286,0.678571,0.65,0.560976,0.560976,0.787879,0.676471,0.676471,0.65,0.560976,0.65,0.560976,0.59375,0.605263,0.787879,0.65,0.75,1,0.657143,0.5,0.522727,0.48,0.44898,0.678571,0.530612,0.590909,0.625,0.388889,0.595238,0.595238,0.705882,0.428571,0.45098,0.45614,0.440678,0.722222,0.416667,0.411765,0.578947,0.408163,0.403846,0.388889,0.510204,0.490196,0.787879,0.65,0.666667,0.666667,0.666667,0.666667,0.666667,0.666667,0.577778,0.577778,0.553191,0.553191,0.75,0.666667,0.469388,0.488889,0.431034,0.416667,0.469388,0.488889,0.45098,0.431373,0.44898,0.466667,0.585366,0.472727,0.454545,0.456522,0.404255,0.242424,0.233333,0.233333,0.215385,0.216667,0.258621,0.258621,0.396226,0.314815,0.267857
CheCOSP25,0.321429,0.327586,0.327586,0.321429,0.344828,0.338983,0.301587,0.295082,0.344828,0.333333,0.327586,0.368421,0.357143,0.357143,0.345455,0.357143,0.345455,0.37037,0.339623,0.351852,0.37037,0.375,0.362069,0.355932,0.355932,0.350877,0.4,0.33871,0.333333,0.31746,0.311475,0.344262,0.338983,0.313433,0.307692,0.327586,0.321429,0.293103,0.285714,0.293103,0.285714,0.293103,0.285714,0.322034,0.315789,0.344828,0.339286,0.367347,0.525,0.6875,0.606061,0.575758,0.5,0.666667,0.581395,0.581395,0.615385,0.525,0.525,0.666667,0.581395,0.666667,0.581395,0.486486,0.511628,0.615385,0.666667,0.558824,0.657143,1,0.55102,0.577778,0.529412,0.595745,0.5,0.54902,0.574468,0.647059,0.519231,0.651163,0.613636,0.771429,0.5,0.529412,0.474576,0.459016,0.692308,0.6,0.55102,0.72973,0.586957,0.54,0.519231,0.56,0.538462,0.615385,0.666667,0.642857,0.642857,0.642857,0.642857,0.642857,0.642857,0.595745,0.595745,0.604167,0.571429,0.558824,0.5,0.52,0.543478,0.45,0.435484,0.52,0.543478,0.5,0.480769,0.5,0.521739,0.604651,0.491228,0.5,0.479167,0.4,0.363636,0.3,0.3,0.31746,0.327586,0.327586,0.327586,0.368421,0.339286,0.315789
CheCOSP26-charge,0.54386,0.568965,0.568965,0.54386,0.586207,0.576271,0.52381,0.5,0.586207,0.551724,0.568965,0.614035,0.578947,0.607143,0.571429,0.607143,0.571429,0.660377,0.574074,0.611111,0.660377,0.568965,0.55,0.59322,0.59322,0.568965,0.527273,0.564516,0.540984,0.564516,0.540984,0.57377,0.55,0.522388,0.5,0.568965,0.54386,0.534483,0.508772,0.534483,0.508772,0.534483,0.508772,0.559322,0.534483,0.559322,0.534483,0.421053,0.363636,0.511111,0.456522,0.434783,0.382979,0.5,0.438596,0.438596,0.425926,0.363636,0.363636,0.5,0.438596,0.5,0.438596,0.468085,0.436364,0.425926,0.5,0.425532,0.5,0.55102,1,0.888889,0.916667,0.679245,0.382979,0.788462,0.76,0.4,0.788462,0.666667,0.634615,0.52,0.781818,0.703704,0.77193,0.745763,0.568627,0.791667,0.875,0.625,0.77551,0.857143,0.788462,0.642857,0.649123,0.425926,0.5,0.482143,0.482143,0.482143,0.482143,0.482143,0.482143,0.561404,0.561404,0.542373,0.516667,0.425532,0.387755,0.956522,0.847826,0.741379,0.716667,0.956522,0.847826,0.877551,0.857143,0.934783,0.826087,0.45614,0.767857,0.814815,0.416667,0.5,0.18,0.533333,0.533333,0.515625,0.444444,0.568965,0.568965,0.352941,0.390625,0.412698
CheCOSP26,0.509091,0.482759,0.482759,0.509091,0.5,0.491525,0.444444,0.466667,0.5,0.517857,0.482759,0.526316,0.545455,0.517857,0.537037,0.517857,0.537037,0.566038,0.538462,0.518519,0.566038,0.482759,0.466667,0.508475,0.508475,0.535714,0.436364,0.483871,0.508475,0.483871,0.508475,0.491803,0.517241,0.447761,0.46875,0.482759,0.509091,0.448276,0.472727,0.448276,0.472727,0.448276,0.472727,0.474576,0.5,0.474576,0.5,0.381818,0.372549,0.575,0.47619,0.487805,0.395349,0.490566,0.425926,0.425926,0.44,0.372549,0.372549,0.490566,0.425926,0.490566,0.425926,0.488372,0.45098,0.44,0.490566,0.44186,0.522727,0.577778,0.888889,1,0.8125,0.75,0.395349,0.692308,0.765957,0.382979,0.692308,0.6,0.6,0.577778,0.690909,0.77551,0.684211,0.661017,0.530612,0.840909,0.770833,0.659091,0.822222,0.755102,0.692308,0.581818,0.589286,0.44,0.490566,0.471698,0.471698,0.471698,0.471698,0.471698,0.471698,0.527273,0.527273,0.508772,0.508772,0.44186,0.4,0.847826,0.951219,0.655172,0.633333,0.847826,0.951219,0.77551,0.755102,0.826087,0.926829,0.444444,0.709091,0.722222,0.403509,0.490566,0.2,0.45,0.45,0.4375,0.482759,0.482759,0.482759,0.338462,0.354839,0.354839
CheCOSP27,0.578947,0.603448,0.603448,0.578947,0.59322,0.583333,0.555556,0.532258,0.62069,0.586207,0.576271,0.649123,0.614035,0.642857,0.607143,0.642857,0.607143,0.730769,0.581818,0.618182,0.698113,0.603448,0.583333,0.627119,0.627119,0.603448,0.563636,0.596774,0.57377,0.596774,0.57377,0.606557,0.583333,0.552239,0.530303,0.603448,0.578947,0.568965,0.54386,0.568965,0.54386,0.568965,0.54386,0.59322,0.568965,0.59322,0.568965,0.431034,0.350877,0.489362,0.4375,0.416667,0.367347,0.508772,0.448276,0.448276,0.410714,0.350877,0.350877,0.508772,0.448276,0.508772,0.448276,0.44898,0.421053,0.410714,0.508772,0.408163,0.48,0.529412,0.916667,0.8125,1,0.625,0.367347,0.826923,0.764706,0.384615,0.862745,0.673077,0.641509,0.5,0.724138,0.649123,0.745763,0.75,0.576923,0.72549,0.803922,0.6,0.711538,0.788462,0.862745,0.649123,0.655172,0.410714,0.508772,0.491228,0.491228,0.491228,0.491228,0.491228,0.491228,0.568965,0.568965,0.55,0.52459,0.408163,0.372549,0.877551,0.77551,0.716667,0.721311,0.877551,0.77551,0.958333,0.9375,0.857143,0.755102,0.465517,0.741379,0.754386,0.42623,0.457627,0.173077,0.540984,0.540984,0.5,0.430769,0.576271,0.576271,0.342857,0.421875,0.4
CheCOSP28,0.581818,0.551724,0.551724,0.581818,0.568965,0.559322,0.507937,0.533333,0.568965,0.589286,0.578947,0.625,0.648148,0.589286,0.611111,0.589286,0.611111,0.5,0.5,0.482759,0.5,0.636364,0.614035,0.603448,0.603448,0.636364,0.482143,0.52381,0.55,0.52381,0.55,0.557377,0.586207,0.507463,0.53125,0.551724,0.581818,0.517241,0.545455,0.517241,0.545455,0.517241,0.545455,0.542373,0.571429,0.542373,0.571429,0.428571,0.37037,0.488889,0.434783,0.413043,0.361702,0.482143,0.421053,0.421053,0.433962,0.37037,0.37037,0.482143,0.421053,0.482143,0.421053,0.416667,0.418182,0.433962,0.482143,0.404255,0.44898,0.595745,0.679245,0.75,0.625,1,0.361702,0.559322,0.611111,0.408163,0.586207,0.555556,0.555556,0.530612,0.796296,0.895833,0.724138,0.7,0.490566,0.7,0.648148,0.604167,0.686275,0.636364,0.586207,0.568965,0.603448,0.433962,0.482143,0.464286,0.464286,0.464286,0.464286,0.464286,0.464286,0.517241,0.517241,0.5,0.5,0.404255,0.367347,0.648148,0.714286,0.694915,0.672131,0.648148,0.714286,0.596491,0.578947,0.62963,0.693878,0.438596,0.661017,0.672414,0.4,0.431034,0.234043,0.444444,0.444444,0.548387,0.607143,0.47541,0.47541,0.338235,0.396825,0.442623
CheCOSP29,0.188679,0.178571,0.178571,0.188679,0.175439,0.172414,0.163934,0.172414,0.196429,0.203704,0.178571,0.196429,0.203704,0.181818,0.188679,0.181818,0.188679,0.166667,0.176471,0.169811,0.166667,0.178571,0.172414,0.169492,0.169492,0.178571,0.18,0.16129,0.169492,0.180328,0.189655,0.267857,0.283019,0.222222,0.233333,0.178571,0.188679,0.185185,0.196078,0.185185,0.196078,0.185185,0.196078,0.196429,0.207547,0.175439,0.185185,0.217391,0.470588,0.653846,0.826087,0.518519,0.666667,0.475,0.390244,0.390244,0.575758,0.470588,0.470588,0.475,0.390244,0.475,0.390244,0.571429,0.421053,0.575758,0.475,0.75,0.678571,0.5,0.382979,0.395349,0.367347,0.361702,1,0.387755,0.431818,0.551724,0.283019,0.463415,0.463415,0.5,0.327273,0.34,0.333333,0.322034,0.527778,0.297872,0.3,0.472222,0.291667,0.294118,0.283019,0.395833,0.38,0.575758,0.475,0.487179,0.487179,0.487179,0.487179,0.487179,0.487179,0.422222,0.422222,0.404255,0.404255,0.75,0.653846,0.354167,0.363636,0.310345,0.3,0.354167,0.363636,0.34,0.404255,0.422222,0.439024,0.526316,0.345455,0.327273,0.276596,0.282609,0.259259,0.155172,0.155172,0.142857,0.137931,0.178571,0.178571,0.240741,0.306122,0.28
